attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
54316,12,3.00,1.67,2.84,1.58,3,1,0,2.52,1.46,13.83,3.50,1.40,5.20,8.00
30553,13,2.00,1.50,1.21,1.32,1,1,2,1.18,1.38,10.10,4.07,3.05,3.25,2.55
39139,13,2.17,0.20,1.79,0.74,1,0,0,1.57,1.03,9.73,2.17,1.43,4.65,8.25
24603,13,0.80,0.67,1.11,0.84,3,2,0,1.65,1.30,10.27,4.20,2.60,3.35,2.85
74516,13,2.00,1.00,1.89,1.53,0,0,2,1.83,1.11,9.50,3.80,1.42,4.85,8.25
20540,13,2.00,2.33,1.42,2.32,0,3,1,1.40,1.48,11.17,4.00,6.35,4.30,1.56
56886,13,1.17,2.20,1.63,2.32,0,4,1,1.43,1.66,13.63,4.33,12.50,6.35,1.26
55465,13,1.50,2.60,2.00,1.58,3,1,0,1.64,1.71,11.55,2.25,2.80,3.40,2.60
10792,13,1.83,2.00,1.53,1.32,1,2,1,1.43,1.50,9.83,3.93,3.65,3.80,2.00
30130,13,1.33,0.40,1.79,0.37,0,2,1,1.53,1.15,10.17,3.67,1.50,4.20,7.75
20628,13,0.80,0.60,1.21,1.05,1,2,1,1.01,1.05,6.60,3.80,3.05,3.15,2.60
30213,14,1.00,1.33,1.05,1.21,2,1,0,1.43,1.58,10.04,3.50,3.65,3.20,2.25
25098,14,0.33,0.71,1.05,0.89,2,0,0,1.51,0.91,10.04,3.81,1.57,3.75,6.60
22973,14,0.71,0.57,0.47,0.68,1,2,1,1.23,0.80,7.14,3.43,2.40,2.90,3.40
31353,14,1.33,1.33,1.42,1.21,2,0,0,1.59,1.35,10.50,4.84,2.45,3.10,3.15
54409,14,3.00,1.50,2.84,0.84,3,1,0,2.40,1.43,14.24,1.74,1.12,8.75,20.50
51853,14,0.86,0.83,1.32,1.11,0,3,1,1.20,1.30,10.54,3.81,2.45,3.20,2.95
30187,14,0.67,1.43,1.21,1.58,2,2,2,1.54,1.34,11.31,5.04,4.00,3.30,2.00
40551,14,2.14,0.14,2.21,0.26,2,0,0,1.80,0.97,7.71,2.85,1.21,6.65,13.75
59973,14,2.00,2.63,2.37,1.74,4,2,0,1.52,1.37,10.63,3.21,2.60,3.55,2.75
51756,14,2.67,1.00,2.79,1.05,1,0,0,1.80,1.36,11.67,3.00,1.48,4.30,7.00
9980,15,1.57,0.83,1.53,0.37,2,1,0,1.40,1.21,9.88,4.29,1.74,3.75,5.40
29663,15,1.83,1.00,1.21,1.53,3,1,0,1.23,1.12,7.43,4.50,3.00,3.05,2.70
56811,15,1.00,0.17,1.63,0.74,3,1,0,1.36,0.99,9.47,3.33,1.67,3.95,5.65
20389,15,1.71,2.33,1.42,2.32,1,2,1,1.31,1.62,12.53,3.96,9.00,5.35,1.36
21741,15,0.67,2.43,1.21,2.32,1,3,1,1.09,1.50,8.47,3.26,12.25,5.95,1.28
22881,15,1.17,1.43,1.11,1.32,1,1,2,1.59,1.34,10.71,4.03,2.85,3.35,2.60
31300,15,1.14,2.17,1.79,1.58,2,1,0,1.48,1.61,12.04,2.90,5.55,3.80,1.71
39350,15,2.29,1.00,1.79,1.05,1,1,2,1.63,1.09,10.26,2.50,1.51,4.20,7.50
74507,15,1.83,2.17,1.89,1.32,2,2,2,1.79,1.56,11.34,3.17,2.35,3.55,3.10
33012,15,1.80,0.57,2.00,0.84,3,1,0,1.72,1.41,9.31,3.14,1.36,5.25,9.75
10752,16,1.75,2.50,1.53,2.32,0,4,1,1.34,1.59,11.13,3.75,7.00,4.60,1.49
59893,16,2.13,0.71,2.37,0.37,1,0,0,1.60,1.37,10.96,3.88,1.28,5.90,12.50
18497,16,0.57,0.88,1.21,0.68,1,0,0,1.14,0.89,6.95,3.84,2.90,3.05,2.80
30067,16,1.25,0.50,1.05,0.84,1,0,0,1.43,1.46,9.88,3.76,3.15,3.25,2.45
74523,16,1.71,0.13,1.89,0.26,4,1,0,1.73,1.00,9.42,3.49,1.39,5.10,8.50
56995,16,1.25,0.88,1.63,1.53,3,2,0,1.45,1.22,10.26,4.01,2.30,3.35,3.40
40571,16,2.25,2.43,2.21,2.32,2,0,0,1.80,1.67,12.17,2.82,3.65,3.55,2.10
31957,16,1.57,2.33,1.42,1.74,0,2,1,1.50,1.37,9.53,4.46,4.50,3.75,1.87
50223,16,0.75,1.14,1.32,1.21,1,2,1,1.25,1.59,12.18,2.95,3.00,3.05,2.75
38400,16,2.13,1.14,1.79,1.21,2,2,2,1.65,1.30,13.24,3.17,1.74,3.85,5.05
54173,17,3.00,0.86,2.84,1.05,3,1,0,2.32,1.32,12.92,2.79,1.22,6.75,12.75
24738,17,0.71,1.38,1.05,1.32,1,0,0,1.67,1.36,13.71,3.20,2.80,3.10,2.80
24036,17,0.63,1.00,0.47,1.05,0,1,1,1.19,1.10,7.45,3.38,2.60,2.95,3.15
41645,17,2.00,0.63,2.00,0.89,1,0,0,1.71,0.87,7.80,2.83,1.19,7.00,17.25
20032,17,1.50,0.14,1.42,0.74,3,2,0,1.33,1.02,8.93,3.43,1.61,3.85,6.20
30997,17,1.38,1.29,1.79,0.84,2,0,0,1.40,1.32,11.42,2.88,2.05,3.35,3.85
24081,17,1.14,1.14,1.11,1.11,0,2,1,1.67,1.27,9.42,4.57,2.95,3.50,2.45
30645,17,2.00,1.86,1.21,1.58,1,2,1,1.19,1.60,10.14,4.42,7.75,4.40,1.44
