,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
56921,9,1.00,2.40,1.63,1.74,0,1,1,6,3,0,0,0,0,3,0,0,12,7,5,3,7,4,8,10,44,56,1.14,1.45,8.55,4.30,3.95,3.70,1.95
31144,9,2.00,1.33,1.79,1.21,0,2,1,2,3,0,1,0,1,2,0,1,8,6,2,4,6,2,23,13,44,56,1.59,1.45,11.33,3.17,1.77,3.60,5.50
24263,9,0.25,2.50,0.47,2.32,0,1,1,4,0,0,2,0,0,0,1,1,8,7,2,3,6,4,9,6,47,53,1.12,1.65,9.00,3.00,10.75,5.60,1.33
38668,9,1.75,1.50,1.79,1.53,2,0,0,5,2,0,1,0,1,1,0,1,14,8,5,4,9,4,13,17,59,41,1.48,1.19,9.00,3.75,1.83,3.55,4.85
59886,9,2.25,1.50,2.37,1.32,3,1,0,4,2,0,2,0,2,0,0,2,18,6,7,3,11,3,10,10,69,31,1.41,1.48,10.75,3.25,1.51,4.60,6.50
30654,10,1.75,1.75,1.21,1.21,1,0,0,10,3,0,0,0,0,3,0,0,7,16,2,8,5,8,11,8,39,61,1.27,1.48,9.25,4.00,3.20,3.15,2.50
25071,10,1.00,1.50,1.11,0.84,0,3,1,5,3,1,1,0,1,3,0,1,11,12,2,6,9,6,16,3,52,48,1.78,1.38,12.00,3.00,2.95,3.70,2.35
53373,10,2.50,0.25,2.79,0.74,4,1,0,0,0,0,0,0,0,0,0,0,14,3,8,2,6,1,6,4,79,21,1.69,1.16,9.25,2.00,1.10,10.50,30.00
30736,10,0.50,0.50,1.21,1.05,0,0,2,2,0,0,1,0,0,0,0,1,18,5,5,0,13,5,9,12,50,50,1.48,1.15,9.75,4.50,2.10,3.35,3.85
20457,10,1.80,0.50,1.42,0.37,3,0,0,3,1,0,2,0,0,1,1,1,13,12,7,8,6,4,9,13,48,52,1.34,1.04,10.85,5.00,1.74,3.60,5.45
